Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Apr-24,EQ,341.5,345.65,331.05,346.8,345,341.65,339.21,353.8,239,"2,83,054","9,60,14,606.20","15,856"
12-Apr-24,EQ,348.75,351.7,345.15,348.75,346.8,346.8,348.43,353.8,239,"3,08,319","10,74,27,527.75","11,637"
10-Apr-24,EQ,344,353,340.75,344.1,349,348.75,347.28,353.8,239,"10,56,332","36,68,44,997.10","31,803"
09-Apr-24,EQ,343.85,346,340.95,341.35,343.8,344.1,343.24,353.8,239,"1,69,364","5,81,32,326.95","9,127"
08-Apr-24,EQ,344.8,353.8,340,341,340.35,341.35,346.93,353.8,239,"6,81,413","23,64,00,605.40","23,500"
05-Apr-24,EQ,339.4,344.8,338.15,339.1,340,341,342.11,352,239,"4,50,393","15,40,83,108.85","11,647"
04-Apr-24,EQ,337.4,340,332.4,335.7,339,339.1,337.81,352,239,"3,12,072","10,54,22,187.65","8,726"
03-Apr-24,EQ,337.5,339.8,332.2,336.25,335.5,335.7,336.07,352,239,"1,86,891","6,28,08,723.90","7,758"
02-Apr-24,EQ,336,339,334,334.05,336.1,336.25,336.71,352,239,"2,12,046","7,13,97,026.40","9,262"
01-Apr-24,EQ,331.4,338.5,331.4,331.35,334,334.05,335.53,352,239,"1,97,689","6,63,30,546.95","9,343"
28-Mar-24,EQ,333.85,337,327.15,329.85,332.5,331.35,333.73,352,237.5,"4,42,696","14,77,42,257.95","16,640"
27-Mar-24,EQ,321.95,334.9,321.95,320.1,330.45,329.85,329.24,352,237.5,"4,46,460","14,69,93,661.65","20,020"
26-Mar-24,EQ,321.9,324.45,319.05,321.9,319.35,320.1,321.47,352,237.5,"1,51,394","4,86,69,013.10","9,830"
22-Mar-24,EQ,321,324.95,318.15,319.95,321.5,321.9,322,352,237.5,"1,20,870","3,89,20,526.30","7,094"
21-Mar-24,EQ,320.8,325,318.05,318.35,318.5,319.95,321.13,352,237.5,"1,34,038","4,30,44,127.50","8,222"
20-Mar-24,EQ,321.55,322.5,315.4,321.4,317.4,318.35,317.42,352,237.5,"2,06,520","6,55,53,891.75","10,765"
19-Mar-24,EQ,324.65,325.85,318.2,324.65,321,321.4,321.6,352,237.5,"1,21,940","3,92,15,997.55","8,085"
18-Mar-24,EQ,324,325.85,319.35,319.85,323.25,324.65,322.43,352,237.5,"1,59,900","5,15,57,058.25","8,764"
15-Mar-24,EQ,324.55,324.7,316.15,324.55,319.1,319.85,319.74,352,237.5,"1,85,855","5,94,25,949.35","9,899"
14-Mar-24,EQ,306.95,326.6,303.1,306.1,324.7,324.55,320.49,352,237.5,"5,26,789","16,88,29,648.90","27,231"
13-Mar-24,EQ,331.15,333.45,303.1,331.05,309.9,306.1,314.42,352,237.5,"7,71,657","24,26,25,207.20","35,405"
12-Mar-24,EQ,337,339.7,329,336.05,330.5,331.05,333.91,352,237.5,"3,69,769","12,34,67,776.05","16,540"
11-Mar-24,EQ,349,352,332.45,344.45,336.9,336.05,344.26,352,237.5,"7,87,681","27,11,65,709.15","25,558"
07-Mar-24,EQ,344.8,350.2,342.25,343.1,345,344.45,346.51,350.35,237.5,"8,96,484","31,06,44,014.30","26,833"
06-Mar-24,EQ,343.7,344.5,332,342.8,342.5,343.1,338.6,350.35,237.5,"6,58,279","22,28,90,757.40","26,288"
05-Mar-24,EQ,348.1,348.35,340.55,348,344.5,342.8,343.02,350.35,237.5,"5,16,598","17,72,03,649.15","16,307"
04-Mar-24,EQ,346.45,350.35,339.4,341.85,344.85,348,344.96,350.35,237.5,"15,66,218","54,02,80,245.10","42,140"
02-Mar-24,EQ,343.9,347.45,340,337.85,340.1,341.85,343.05,347.45,237.5,"2,35,814","8,08,96,224.85","5,417"
01-Mar-24,EQ,326.25,343,324.2,324.95,340.45,337.85,333,344.4,237.5,"12,83,856","42,75,21,174.80","21,775"
29-Feb-24,EQ,333,333.75,321.45,330.05,325,324.95,326.32,344.4,237.5,"14,22,194","46,40,86,884.55","32,929"
28-Feb-24,EQ,325.65,344.4,324.5,322.3,332.4,330.05,337.08,344.4,237.5,"76,08,365","2,56,45,91,875.40","1,20,743"
27-Feb-24,EQ,317.3,326.8,314.55,315.85,322,322.3,322.84,335,237.5,"11,87,174","38,32,64,474.30","32,402"
26-Feb-24,EQ,310,317,308.8,310.95,316.55,315.85,313,335,237.5,"3,10,684","9,72,43,734.95","14,369"
23-Feb-24,EQ,312.5,315.9,306.45,311.85,311.5,310.95,310.09,335,237.3,"2,41,947","7,50,24,333.35","9,192"
22-Feb-24,EQ,314,318.3,311,312.75,311.5,311.85,312.85,335,237.3,"2,54,292","7,95,54,763.05","11,604"
21-Feb-24,EQ,314.85,320.7,310.3,313.3,314,312.75,316.49,335,237.3,"9,51,817","30,12,36,797.85","35,406"
20-Feb-24,EQ,315,323.45,311.3,314.35,312.6,313.3,317.36,335,237.3,"3,48,832","11,07,04,892.25","17,954"
19-Feb-24,EQ,312.75,317.85,312.35,311.15,314.95,314.35,314.63,335,237.3,"2,87,351","9,04,10,316.70","13,424"
16-Feb-24,EQ,320,320,310,316.3,310.25,311.15,313.37,335,237.3,"4,66,816","14,62,85,659.80","19,608"
15-Feb-24,EQ,313.5,321.9,309.05,309.75,314,316.3,317.92,335,237.3,"13,31,774","42,34,00,616.45","48,767"
14-Feb-24,EQ,302,314.7,301.95,307.85,309.95,309.75,310.97,335,237.3,"3,16,761","9,85,04,294.50","13,645"
13-Feb-24,EQ,307.25,310.85,302,307,306.05,307.85,305.88,335,237.3,"2,90,728","8,89,29,051.75","20,910"
12-Feb-24,EQ,314.45,315.4,305,311.4,310,307,310.14,335,237.3,"2,74,810","8,52,30,723.40","17,618"
09-Feb-24,EQ,312.1,313.9,304.1,310.7,311.9,311.4,310.25,335,237.3,"4,50,911","13,98,95,754.25","26,314"
08-Feb-24,EQ,318.05,319,309,314.1,309,310.7,313.64,335,237.3,"3,54,148","11,10,74,108.05","19,337"
07-Feb-24,EQ,310.35,322,309,308.25,315,314.1,318.05,335,237.3,"14,79,980","47,07,00,469.00","40,442"
06-Feb-24,EQ,316,317.95,307,314.65,309,308.25,311.35,335,237.3,"7,19,025","22,38,69,836.00","22,691"
05-Feb-24,EQ,314.95,319.8,313.1,310.05,313.5,314.65,316.47,335,237.3,"8,60,036","27,21,79,655.10","36,937"
02-Feb-24,EQ,303.9,316,297.7,299.15,310,310.05,309.3,335,229.05,"26,92,855","83,28,91,503.80","61,580"
01-Feb-24,EQ,293.05,305.7,291.05,292.4,298.1,299.15,299.39,335,229.05,"18,54,141","55,51,14,117.35","44,330"
31-Jan-24,EQ,289.65,293,288.95,289.6,292.9,292.4,291.44,335,229.05,"2,03,518","5,93,13,960.35","10,926"
30-Jan-24,EQ,290.5,292.4,289.05,290.95,289.7,289.6,290.45,335,229.05,"1,63,541","4,75,00,750.50","10,115"
29-Jan-24,EQ,295.6,295.6,290.7,293.35,291.1,290.95,291.72,335,229.05,"1,19,883","3,49,71,771.95","4,679"
25-Jan-24,EQ,296.45,297,287.35,292.9,293,293.35,291.91,335,229.05,"2,35,015","6,86,03,378.45","10,029"
24-Jan-24,EQ,288,294.5,285.85,288.85,293.1,292.9,289.83,335,229.05,"3,62,406","10,50,36,001.90","6,904"
23-Jan-24,EQ,293.6,295.8,285.8,293.45,292.4,288.85,289.5,335,229.05,"1,71,916","4,97,70,492.70","8,513"
20-Jan-24,EQ,292.1,296,291,291.2,293.6,293.45,293,335,229.05,"1,03,672","3,03,76,054.45","4,383"
19-Jan-24,EQ,295,295,289.65,292.6,291.15,291.2,292.05,335,229.05,"1,81,883","5,31,18,828.35","7,090"
18-Jan-24,EQ,293.8,295.9,289.5,293,290.55,292.6,293.59,335,229.05,"2,20,141","6,46,32,156.30","10,884"
17-Jan-24,EQ,293.95,296.2,291,294.05,291.4,293,293.5,335,229.05,"1,96,000","5,75,25,902.40","10,719"
16-Jan-24,EQ,290.9,295.5,290.7,290.65,295.4,294.05,293.13,335,229.05,"1,76,983","5,18,78,630.50","9,411"
15-Jan-24,EQ,295.2,295.5,289.85,294.1,290.5,290.65,291.54,335,229.05,"2,36,708","6,90,10,621.55","7,302"
12-Jan-24,EQ,296.5,297.5,293.4,295.55,293.6,294.1,294.85,335,229.05,"1,64,416","4,84,78,860.55","7,083"
11-Jan-24,EQ,292.45,297.85,291.6,291.75,295.25,295.55,295.11,335,229.05,"4,43,394","13,08,48,555.65","11,527"
10-Jan-24,EQ,291.5,293.05,290.5,292.2,291.5,291.75,291.87,335,229.05,"1,31,061","3,82,53,315.35","6,547"
09-Jan-24,EQ,294.3,296.5,292,294.3,292,292.2,294.24,335,229.05,"2,57,272","7,56,99,441.25","11,661"
08-Jan-24,EQ,294.8,295.4,289.75,293.95,294.3,294.3,292.24,335,229.05,"3,96,290","11,58,12,113.25","24,175"
05-Jan-24,EQ,295.45,296.5,292.25,295.1,293,293.95,293.82,335,229.05,"2,57,381","7,56,23,582.05","11,448"
04-Jan-24,EQ,296,297,294.15,294.75,295.2,295.1,295.33,335,229.05,"2,73,672","8,08,22,275.70","10,466"
03-Jan-24,EQ,289.95,295.5,288.55,290,294.3,294.75,292.99,335,229.05,"3,94,304","11,55,25,294.55","10,385"
02-Jan-24,EQ,291.4,292.4,287.85,291.4,291,290,289.76,335,229.05,"2,64,805","7,67,29,738.25","11,110"
01-Jan-24,EQ,293.3,294.6,289.9,292.35,291.9,291.4,291.07,335,229.05,"2,29,908","6,69,18,178.60","12,621"
29-Dec-23,EQ,286.9,294,285.1,284.2,292.4,292.35,290.87,335,229.05,"4,85,620","14,12,54,105.85","15,806"
28-Dec-23,EQ,288.95,290.65,283.35,288,284.9,284.2,285.62,335,229.05,"3,13,944","8,96,68,330.10","9,726"
27-Dec-23,EQ,292.25,292.35,287.2,290.65,288,288,288.8,335,229.05,"3,79,768","10,96,77,361.30","11,050"
26-Dec-23,EQ,293.25,294.9,289.55,293.2,290.9,290.65,290.64,335,229.05,"2,70,238","7,85,40,987.35","15,026"
22-Dec-23,BL,286,286,286,242.85,286,286,286,286,286,"45,00,000","1,28,70,00,000.00",2
22-Dec-23,EQ,295,304.3,290.65,287.15,291.85,293.2,295.81,335,229.05,"7,82,677","23,15,21,304.10","23,840"
21-Dec-23,EQ,290,291.25,284,290.6,287,287.15,288.7,335,229.05,"7,17,624","20,71,75,592.70","19,688"
20-Dec-23,EQ,289.25,306,287.1,289.6,287.3,290.6,297.01,335,229.05,"9,60,014","28,51,36,744.25","30,116"
19-Dec-23,EQ,289.3,292.45,289.1,291,289.25,289.6,290.27,335,229.05,"1,79,939","5,22,30,891.55","7,251"
18-Dec-23,EQ,292.4,293.15,290.5,292.9,290.75,291,291.42,335,229.05,"1,68,626","4,91,40,839.15","6,444"
15-Dec-23,EQ,294.15,295.6,292.3,293.8,292.6,292.9,293.15,335,229.05,"1,31,279","3,84,84,774.40","6,426"
14-Dec-23,EQ,294.05,297,292.75,293.8,294,293.8,294.17,335,229.05,"1,13,360","3,33,47,001.60","5,548"
13-Dec-23,EQ,297.55,297.55,293,297.55,294,293.8,294.52,335,229.05,"1,43,562","4,22,81,498.45","6,007"
12-Dec-23,EQ,298.4,299.75,296.45,298.4,296.65,297.55,297.78,335,229.05,"1,07,709","3,20,73,417.00","6,979"
11-Dec-23,EQ,300.3,301.8,296.65,299.35,297.6,298.4,298.09,335,229.05,"1,76,931","5,27,41,495.35","9,140"
