Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-Jul-24,EQ,571.95,582,555.35,567.8,570.5,572.65,569.61,633.6,162.65,"22,81,355","1,29,94,81,825.85","55,855"
26-Jul-24,EQ,578.9,578.9,565.1,573.7,568.8,567.8,568.36,633.6,162.65,"12,32,940","70,07,50,573.10","31,515"
25-Jul-24,EQ,590,612.5,563,587.25,573.6,573.7,584.89,633.6,162.65,"53,40,282","3,12,34,82,985.25","1,10,188"
24-Jul-24,EQ,555.5,633.6,555.45,552.75,587,587.25,592.11,633.6,162.65,"1,17,01,050","6,92,82,85,021.30","2,44,902"
23-Jul-24,EQ,529,561.65,497.55,529.3,552,552.75,539.75,561.65,162.65,"74,27,646","4,00,90,91,538.65","1,65,211"
22-Jul-24,EQ,531.4,540.95,525.1,528.95,528,529.3,531.18,546,162.65,"16,72,590","88,84,51,869.65","48,166"
19-Jul-24,EQ,515,536,514.5,519.45,526,528.95,523.16,546,162.65,"20,17,760","1,05,56,19,054.30","62,025"
18-Jul-24,EQ,527.4,527.4,512.5,527.55,517.45,519.45,520.09,546,162.65,"10,77,417","56,03,58,909.10","40,238"
16-Jul-24,EQ,517.4,533,515.1,513.35,524,527.55,524.34,546,162.65,"28,14,459","1,47,57,44,073.85","66,647"
15-Jul-24,EQ,506.6,524.75,499,505.25,514.8,513.35,513.44,546,162.65,"21,54,561","1,10,62,39,324.65","59,973"
12-Jul-24,EQ,503.2,509,498.1,503.25,503,505.25,502.08,546,157.2,"10,73,604","53,90,32,601.75","33,613"
11-Jul-24,EQ,509.25,512.45,500.25,503.9,502.5,503.25,507.2,546,157.2,"10,94,045","55,49,00,812.10","35,890"
10-Jul-24,EQ,500,518,497,496.85,504.8,503.9,505.78,546,157.2,"32,84,158","1,66,10,77,294.80","80,510"
09-Jul-24,EQ,496.2,498.8,493,496.2,497.15,496.85,496.6,546,157.2,"16,19,702","80,43,38,706.75","28,271"
08-Jul-24,EQ,497.75,501.9,490,495.3,495.1,496.2,494.96,546,157.2,"14,26,120","70,58,65,670.70","31,429"
05-Jul-24,EQ,496.55,505,485.1,490.55,495.4,495.3,494.78,546,140.5,"37,17,652","1,83,94,03,351.50","61,081"
04-Jul-24,EQ,490.65,495.95,486,488.9,489.9,490.55,490.08,546,140.5,"8,20,820","40,22,67,725.05","33,819"
03-Jul-24,EQ,493.15,497.85,485.45,495.95,489.8,488.9,490.42,546,140.5,"10,82,260","53,07,64,504.35","37,351"
02-Jul-24,EQ,500.4,502.5,493.05,497.5,494.7,495.95,497.12,546,140.5,"12,50,414","62,16,11,402.20","32,312"
01-Jul-24,EQ,504.25,505.7,483,501.15,500,497.5,490.7,546,140.5,"41,70,640","2,04,65,21,973.50","1,00,369"
28-Jun-24,EQ,481.1,546,481.1,476.3,502.9,501.15,504.35,546,127.15,"94,39,333","4,76,06,88,976.35","2,12,866"
27-Jun-24,EQ,459,480,454.05,456.65,479.5,476.3,466.7,480,127.15,"43,80,406","2,04,43,30,129.85","1,09,815"
26-Jun-24,EQ,438.95,460.5,438.95,438.15,454,456.65,452.35,464.95,127.15,"38,75,868","1,75,32,40,598.00","66,576"
25-Jun-24,EQ,447.4,453.25,435,446.1,439,438.15,443.46,464.95,127.15,"11,31,725","50,18,70,569.90","37,117"
24-Jun-24,EQ,452.5,452.5,436.3,453,444.6,446.1,443.8,464.95,127.15,"19,96,316","88,59,72,608.45","52,097"
21-Jun-24,EQ,437,464.95,431,431.2,449.9,453,451.38,464.95,121.5,"1,68,03,770","7,58,49,17,940.25","1,15,057"
20-Jun-24,EQ,426,435,420.55,423.55,431.25,431.2,429.83,449.7,121.5,"18,72,534","80,48,71,491.75","34,901"
19-Jun-24,EQ,428.85,447,420,424,423.5,423.55,434.25,449.7,121.5,"59,91,651","2,60,18,54,508.45","1,21,035"
18-Jun-24,EQ,400.75,430.25,398.85,400.5,426.5,424,416.09,449.7,121.5,"49,70,051","2,06,79,98,732.45","82,811"
14-Jun-24,EQ,398.4,404.9,398.4,398.4,399.55,400.5,401.27,449.7,109,"12,60,917","50,59,68,403.80","24,532"
13-Jun-24,EQ,406,408.5,398,404.2,398.3,398.4,401.46,449.7,109,"13,64,525","54,77,96,541.90","39,474"
12-Jun-24,EQ,410.9,413.55,403.1,408.95,404.2,404.2,406.06,449.7,109,"12,32,741","50,05,61,227.05","35,244"
11-Jun-24,EQ,409.5,412.45,405,409.25,408.15,408.95,408.93,449.7,109,"7,24,141","29,61,22,129.85","30,716"
10-Jun-24,EQ,410,416,406,407.85,408.1,409.25,410.63,449.7,109,"18,08,548","74,26,51,231.50","25,750"
07-Jun-24,EQ,401,410.25,400,399.65,406.15,407.85,405.59,449.7,108.8,"27,65,843","1,12,18,00,791.85","42,500"
06-Jun-24,EQ,402.95,409.55,398,402.55,399.3,399.65,401.93,449.7,108.8,"16,18,400","65,04,76,026.75","45,468"
05-Jun-24,EQ,386,420,372.35,378.65,397,402.55,392.44,449.7,108.8,"38,24,865","1,50,10,45,850.45","64,984"
04-Jun-24,EQ,394,399,336.05,390.95,387,378.65,377.59,449.7,108.8,"18,84,318","71,14,96,608.35","76,638"
03-Jun-24,EQ,394,403,388,388.45,392,390.95,394.43,449.7,108.8,"12,33,765","48,66,36,836.45","56,385"
31-May-24,EQ,384.85,398,377.05,384.85,385,388.45,385.76,449.7,104.8,"25,00,856","96,47,19,568.25","58,241"
30-May-24,EQ,396,400,384,394.8,385,384.85,389.84,449.7,104.8,"8,16,008","31,81,12,338.05","29,989"
29-May-24,EQ,402.45,404.4,392,402.45,395.55,394.8,397.32,449.7,104.8,"7,87,171","31,27,61,143.30","32,883"
28-May-24,EQ,406.45,409.95,396.1,406.45,401.75,402.45,402.61,449.7,104.8,"10,93,554","44,02,72,512.75","41,074"
27-May-24,EQ,400,409.4,395.2,401.95,407.8,406.45,403.75,449.7,104.8,"14,33,957","57,89,60,500.55","45,285"
24-May-24,EQ,404,405.7,400.1,403,402,401.95,403.43,449.7,104.6,"4,54,189","18,32,33,637.75","18,231"
23-May-24,EQ,400,405,399.1,399.8,404.85,403,401.76,449.7,104.6,"10,97,655","44,09,94,011.50","23,802"
22-May-24,EQ,401.5,406.25,397.7,401.5,402,399.8,402.25,449.7,104.6,"7,77,505","31,27,54,414.35","23,295"
21-May-24,EQ,413.2,415.5,399,413.2,402.8,401.5,404.61,449.7,104.6,"14,19,658","57,44,12,054.65","42,617"
18-May-24,EQ,415,416.65,410.15,414.9,413.2,413.2,413.26,449.7,104,"1,45,654","6,01,92,976.55","5,842"
17-May-24,EQ,412.95,416.5,411.25,411.1,414.5,414.9,414.97,449.7,104,"8,99,177","37,31,35,941.95","22,473"
16-May-24,EQ,412,417,405.1,409.15,411.5,411.1,411.41,449.7,104,"10,06,356","41,40,24,183.50","23,682"
15-May-24,EQ,401.6,410,399.05,397.3,408.6,409.15,408.05,449.7,104,"14,00,855","57,16,22,058.50","40,132"
14-May-24,EQ,400,403.5,393.3,400.1,397.85,397.3,395.9,449.7,104,"11,73,903","46,47,44,543.80","41,339"
13-May-24,EQ,415,417.45,395.95,410.55,399.9,400.1,401.52,449.7,104,"15,60,214","62,64,55,433.70","45,572"
10-May-24,EQ,402.05,420,388.65,397.15,408,410.55,403.51,449.7,104,"18,07,755","72,94,39,886.50","53,333"
