Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jul-24,EQ,675,705.85,673.6,676.5,700,699.9,698.11,849.5,594,"2,57,378","17,96,78,619.95","9,005"
23-Jul-24,EQ,692,695.8,668.75,687.65,675,676.5,679.82,849.5,594,"1,53,522","10,43,67,302.75","13,334"
22-Jul-24,EQ,680,698.95,680,685.65,690,687.65,689.37,849.5,594,"81,368","5,60,92,846.35","10,010"
19-Jul-24,EQ,691,699.45,681.05,694.2,681.05,685.65,690.05,849.5,594,"83,536","5,76,43,805.60","10,094"
18-Jul-24,EQ,701.7,705.65,691.1,701.7,694.5,694.2,698.61,849.5,594,"86,225","6,02,37,352.90","7,263"
16-Jul-24,EQ,702.15,716.55,697.8,702.15,701.95,701.7,704.07,849.5,594,"6,24,715","43,98,45,913.05","10,714"
15-Jul-24,EQ,706.5,710,698.6,703.7,702.75,702.15,704.22,849.5,594,"99,642","7,01,70,180.50","5,947"
12-Jul-24,EQ,712.9,718.8,701.1,712.9,703,703.7,706.76,849.5,594,"1,46,347","10,34,32,239.35","10,892"
11-Jul-24,EQ,721,727.1,710,717.4,711.95,712.9,716.43,849.5,594,"50,280","3,60,22,333.40","5,405"
10-Jul-24,EQ,725.15,728,702.95,720.1,717.35,717.4,715.94,849.5,594,"73,970","5,29,58,218.25","8,236"
09-Jul-24,EQ,731.3,734.95,715.1,731.3,723,720.1,722.84,849.5,594,"75,114","5,42,95,202.90","7,571"
08-Jul-24,EQ,742.65,750.5,725,742.65,727.3,731.3,734.15,849.5,594,"92,423","6,78,52,397.70","10,424"
05-Jul-24,EQ,729.95,747.4,725.2,723.25,744,742.65,739.47,849.5,594,"2,05,642","15,20,65,218.00","14,457"
04-Jul-24,EQ,720,728,707.5,717.1,727.75,723.25,716.99,849.5,594,"1,17,701","8,43,90,745.50","11,600"
03-Jul-24,EQ,731,732,712,725.05,718.5,717.1,721.25,849.5,594,"1,18,712","8,56,20,453.45","9,219"
02-Jul-24,EQ,753.45,753.55,722,753.4,726.3,725.05,731.33,849.5,594,"4,85,913","35,53,61,504.30","24,820"
01-Jul-24,EQ,763.55,766.05,750,763.55,751.2,753.4,756.12,849.5,594,"1,07,039","8,09,33,925.50","7,912"
28-Jun-24,EQ,756,777.3,740.6,747.65,759,763.55,764.75,849.5,594,"8,51,332","65,10,56,879.15","52,291"
27-Jun-24,EQ,723.2,753,720,715.75,752.9,747.65,741.46,849.5,594,"5,49,971","40,77,82,702.90","33,055"
26-Jun-24,EQ,702.25,722.9,702.25,702.25,715.05,715.75,714.94,849.5,594,"1,34,426","9,61,06,037.00","10,320"
25-Jun-24,EQ,705,715,698.05,701.45,701.5,702.25,702.48,849.5,594,"1,73,226","12,16,86,970.45","20,705"
24-Jun-24,EQ,705.9,706.95,691.15,706.1,702.25,701.45,699.78,849.5,594,"75,010","5,24,90,846.80","5,595"
21-Jun-24,EQ,723.95,724.95,703,721.5,707,706.1,712.04,849.5,594,"1,10,909","7,89,72,161.00","7,773"
20-Jun-24,EQ,722.4,732.5,717,722.4,721.9,721.5,725.43,849.5,594,"98,213","7,12,46,549.10","6,786"
19-Jun-24,EQ,730,733.2,719.75,724.15,721,722.4,725.8,849.5,594,"1,95,419","14,18,35,478.20","12,205"
18-Jun-24,EQ,708,740,705,699.9,724.5,724.15,725.13,849.5,594,"5,76,464","41,80,12,273.25","26,915"
14-Jun-24,EQ,683.05,701.5,682.8,679.65,700,699.9,698.56,849.5,579.2,"2,91,783","20,38,27,327.85","20,448"
13-Jun-24,EQ,687,687.95,673.35,681.65,680,679.65,679.96,849.5,579.2,"71,254","4,84,49,753.60","6,578"
12-Jun-24,EQ,692,693.3,678,690.7,680.25,681.65,685.26,849.5,579.2,"1,22,058","8,36,41,030.50","7,219"
11-Jun-24,EQ,696.15,701,686.95,692.45,689.05,690.7,695.28,849.5,579.2,"79,417","5,52,17,352.05","7,969"
10-Jun-24,EQ,690.1,710,690.1,689.1,691.5,692.45,699.5,849.5,579.2,"1,44,100","10,07,98,242.70","9,768"
07-Jun-24,EQ,667,697.6,666.35,670.9,689,689.1,688.28,849.5,568.3,"1,96,858","13,54,93,028.35","13,955"
